Roll,Name,MotherName,FatherName,SchoolName,SubjectCode,SubjectName,Theory,Practical,Total,Grade,Result
99999001,AARAV SHARMA,NEHA SHARMA,RAJESH SHARMA,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,075,020,095,A1,PASS
99999001,AARAV SHARMA,NEHA SHARMA,RAJESH SHARMA,DUMMY DEMO HIGH SCHOOL,041,MATHEMATICS,078,020,098,A1,PASS
99999001,AARAV SHARMA,NEHA SHARMA,RAJESH SHARMA,DUMMY DEMO HIGH SCHOOL,042,PHYSICS,068,030,098,A1,PASS
99999001,AARAV SHARMA,NEHA SHARMA,RAJESH SHARMA,DUMMY DEMO HIGH SCHOOL,043,CHEMISTRY,069,030,099,A1,PASS
99999001,AARAV SHARMA,NEHA SHARMA,RAJESH SHARMA,DUMMY DEMO HIGH SCHOOL,083,COMPUTER SCIENCE,070,030,100,A1,PASS
99999001,AARAV SHARMA,NEHA SHARMA,RAJESH SHARMA,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,PASS
99999001,AARAV SHARMA,NEHA SHARMA,RAJESH SHARMA,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,PASS
99999001,AARAV SHARMA,NEHA SHARMA,RAJESH SHARMA,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,PASS
99999002,ADITYA PATEL,MEENA PATEL,ARVIND PATEL,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,060,020,080,B2,PASS
99999002,ADITYA PATEL,MEENA PATEL,ARVIND PATEL,DUMMY DEMO HIGH SCHOOL,041,MATHEMATICS,045,020,065,C1,PASS
99999002,ADITYA PATEL,MEENA PATEL,ARVIND PATEL,DUMMY DEMO HIGH SCHOOL,042,PHYSICS,040,028,068,B2,PASS
99999002,ADITYA PATEL,MEENA PATEL,ARVIND PATEL,DUMMY DEMO HIGH SCHOOL,043,CHEMISTRY,042,029,071,B1,PASS
99999002,ADITYA PATEL,MEENA PATEL,ARVIND PATEL,DUMMY DEMO HIGH SCHOOL,083,COMPUTER SCIENCE,050,028,078,B2,PASS
99999002,ADITYA PATEL,MEENA PATEL,ARVIND PATEL,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,PASS
